Logging to experiments/20250223_030933
---------------------------------
| rollout/           |          |
| time/                   |              |
|    fps                  | 575          |
|    iterations           | 114          |
|    time_elapsed         | 405          |
|    total_timesteps      | 233472       |
| train/                  |              |
|    approx_kl            | 0.0032612658 |
|    clip_fraction        | 0.041        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.434       |
|    explained_variance   | 0.292        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0166       |
|    n_updates            | 1130         |
|    policy_gradient_loss | -0.00372     |
|    value_loss           | 0.0117       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 72.5        |
|    ep_rew_mean          | 0.209       |
| time/                   |             |
|    fps                  | 575         |
|    iterations           | 115         |
|    time_elapsed         | 409         |
|    total_timesteps      | 235520      |
| train/                  |             |
|    approx_kl            | 0.001553368 |
|    clip_fraction        | 0.0192      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.406      |
|    explained_variance   | 0.378       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00576     |
|    n_updates            | 1140        |
|    policy_gradient_loss | -0.00152    |
|    value_loss           | 0.00674     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 68.3         |
|    ep_rew_mean          | 0.248        |
| time/                   |              |
|    fps                  | 575          |
|    iterations           | 116          |
|    time_elapsed         | 412          |
|    total_timesteps      | 237568       |
| train/                  |              |
|    approx_kl            | 0.0034860969 |
|    clip_fraction        | 0.0352       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.473       |
|    explained_variance   | 0.545        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0229      |
|    n_updates            | 1150         |
|    policy_gradient_loss | -0.00345     |
|    value_loss           | 0.00495      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65          |
|    ep_rew_mean          | 0.301       |
| time/                   |             |
|    fps                  | 575         |
|    iterations           | 117         |
|    time_elapsed         | 416         |
|    total_timesteps      | 239616      |
| train/                  |             |
|    approx_kl            | 0.004414321 |
|    clip_fraction        | 0.03        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.429      |
|    explained_variance   | 0.221       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0085      |
|    n_updates            | 1160        |
|    policy_gradient_loss | -0.0045     |
|    value_loss           | 0.0163      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 57.1       |
|    ep_rew_mean          | 0.296      |
